,id,address,area,bedrooms,bikeScore,transitScore,walkScore,datetime,distanceToNearestIntersection,hasImage,hasMap,name,price,sideOfStreet,url,longitude,latitude,includesArea,advertisesNoFee,isRepost,postalCode,neighborhood
1589,81444,1082 Jefferson Ave,,4.0,78.0,95.0,92.0,2019-07-09 02:24:00+00:00,0.0000,True,True,*MASSIVE 4BR 2BATH PENTHOUSE*PVT ROOF*CHIC BRAND NEW BLDG*J\Z LINE,3999,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-massive-4br-2bath-penthousepvt/6929644587.html,-73.9161,40.6884,False,False,False,11221,Sunset Park
1590,81447,500 Throop Ave,,1.0,75.0,100.0,94.0,2019-07-09 02:21:00+00:00,0.0000,True,True,Building is complete with on site laundry and a sweeping roof deck,2380,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-building-is-complete-with-on/6929625670.html,-73.9416,40.6865,False,False,False,11221,Sunset Park
1591,81451,1082 Jefferson Ave,,3.0,78.0,95.0,92.0,2019-07-09 02:15:00+00:00,0.0000,True,True,*BE THE FIRST ONE TO LIVE IN THIS 3BR 2BATH*W\D+ROOF*OFF J\Z*NOFEE,3400,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-be-the-first-one-to-live-in/6929646204.html,-73.9161,40.6884,False,False,False,11221,Sunset Park
1592,81457,1004 Willoughby Ave,,2.0,91.0,99.0,97.0,2019-07-09 02:07:00+00:00,130.2827,True,True,2bed/2bath__Laundry__Outdoor Space__NEXT to Central M / Myrtle JMZ,3000,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-2bed-2bathlaundryoutdoor/6929628103.html,-73.9290,40.6989,False,False,False,11221,Sunset Park
1593,81476,835 Dekalb Ave,,3.0,83.0,97.0,90.0,2019-07-09 03:33:00+00:00,0.0000,True,True,3bed/1.5ba - Laundry+Balcony+Dishwasher+Roofdeck,2799,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-3bed-15ba/6929678191.html,-73.9428,40.6924,False,False,False,11221,Sunset Park
1594,81503,641 Bushwick Ave,,2.0,83.0,97.0,98.0,2019-07-09 04:34:00+00:00,0.0000,True,True,Amazing advantage of this space,2908,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-amazing-advantage-of-this-space/6929694367.html,-73.9332,40.6979,False,False,False,11221,Sunset Park
1595,81514,959 Lafayette Ave,,3.0,75.0,95.0,94.0,2019-07-09 04:13:00+00:00,6.0340,True,True,"3 Bed / 1 Bath in Bed-Stuy, Brooklyn. All Pets Allowed.",2895,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-3-bed-1-bath-in-bed-stuy/6929696628.html,-73.9339,40.6920,False,False,False,11221,Sunset Park
1596,81534,49 Patchen Ave,,3.0,72.0,92.0,96.0,2019-07-09 03:47:00+00:00,37.1112,True,True,No-fee 3 bed in Bushwick off Central Ave M train,2700,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-no-fee-3-bed-in-bushwick-off/6929693752.html,-73.9274,40.6907,False,False,False,11221,Sunset Park
1597,81549,49 Patchen Ave,,1.0,72.0,92.0,96.0,2019-07-09 05:04:00+00:00,37.1112,True,True,Huge no-fee one bedroom in Bushwick with backyard access,2300,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-huge-no-fee-one-bedroom-in/6929721282.html,-73.9274,40.6907,False,False,False,11221,Sunset Park
1598,81579,839 Dekalb Ave,,3.0,83.0,97.0,90.0,2019-07-09 07:32:00+00:00,20.1793,True,True,==NO FEE== SPACIOUS 3 BED PRIME BED-STUY! NEAR PRATT!!,2800,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-no-fee-spacious-3-bed-prime/6929749152.html,-73.9427,40.6924,False,True,True,11221,Sunset Park
1599,81581,1073 Greene Ave,,3.0,78.0,,96.0,2019-07-09 08:24:00+00:00,44.4800,True,True,Rooms available in a 3Br2Br Apt.,1200,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-rooms-available-in-3br2br-apt/6929763490.html,-73.9246,40.6925,False,False,False,11221,Sunset Park
1600,81584,Madison St,,3.0,71.0,,95.0,2019-07-09 08:53:00+00:00,4.8177,True,True,Rm available in brand new 3br apt,918,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-rm-available-in-brand-new-3br/6929765321.html,-73.9200,40.6882,False,False,False,11221,Sunset Park
1601,81587,1347 Myrtle Ave,,2.0,93.0,,98.0,2019-07-09 10:35:00+00:00,63.7568,True,True,Luxury Building + 2bd/1ba - roofdeck + gym + gameroom + laundry,2845,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-luxury-building-2bd-1ba/6924192126.html,-73.9235,40.6983,False,False,False,11221,Sunset Park
1602,81605,347 Marcus Garvey Blvd,,3.0,71.0,,93.0,2019-07-09 10:55:00+00:00,0.7574,True,True,3 BR Apt in Bedstuy w/Laundry and Backyard,2799,L,https://newyork.craigslist.org/brk/abo/d/brooklyn-3-br-apt-in-bedstuy-laundry/6923089144.html,-73.9385,40.6854,False,False,True,11221,Sunset Park
1603,81607,50 Woodbine St,,2.0,82.0,,92.0,2019-07-09 12:39:00+00:00,1.1066,True,True,✰BRAND NEW✰2bed/1ba✰laundry/AC/Roof+Dishwasher+MORE,2650,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-brand-new2bed-1balaundry-ac/6929793357.html,-73.9192,40.6901,False,False,False,11221,Sunset Park
1604,81640,1082 Jefferson Ave,,1.0,78.0,,92.0,2019-07-09 13:01:00+00:00,0.0000,True,True,*CHIC DESIGN*EXPOSED BRICK*W\D+ROOF*SUNNY 1BR*OFF THE J\Z*,2197,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-chic-designexposed/6925597962.html,-73.9161,40.6884,False,False,False,11221,Sunset Park
1605,81641,1082 Jefferson Ave,,1.0,78.0,,92.0,2019-07-09 13:01:00+00:00,0.0000,True,True,*CHIC BRAND NEW BLDG IN BUSHWICK*NOFEE* SUNNY 1BR*W\D+ROOF*J\Z LINE*,2150,R,https://newyork.craigslist.org/brk/abo/d/brooklyn-chic-brand-new-bldg-in/6925091881.html,-73.9161,40.6884,False,False,False,11221,Sunset Park
